가식부 100g 당 (Per 100g Edible Portion),일반성분 Proximates,,,,무기질 Minerals,,,,,,,
식품명,칼로리,단백질,지방,"탄수
화물",칼슘,나트륨,철,인,칼륨,비타민 B1,비타민 B2,비타민 C
,kcal,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,,,,,,,,
식품명,Energy,Protein,Fat,Carbohydrate,Calcium,Sodium,Iron,P,K,VitaminB1,VitaminB2,VitaminC
"고래 부산물, 꼬리, 냉동",246,13.8,20.6,0.3,9,0,8,54,0,0.1,0.2,0
"고래 부산물, 꼬리, 생것",284,28.4,18,0.2,7,0,4,29,0,0,0,0
"고래고기, 복부정육, 생것",298,22,22.5,0.3,7,0,4,14,0,0.09,0.08,0
"고래고기, 복부지육, 생것",449,25.5,37.6,0.3,2,0,8,52,0,0,0.01,0
"고래고기, 붉은살, 냉동",132,23.5,3.5,0,7,58,2.8,177,295,0.08,0.11,0
"고래고기, 붉은살, 염절임",160,24.4,6.2,0.1,26,0,10,104,0,0.1,0.14,0
"고래고기, 생것",111,26.5,0.5,0,7,78,25.9,239,283,0.014,0.184,0
"고량주, 알코올 50%",355,0,0,0,1,1,0.01,0,1,0,0.002,0
"고려엉겅퀴(곤드레), 야생, 말린것",275,20.5,3.9,53.9,88,0,2.7,111,0,0.03,0.07,1
"고려엉겅퀴(곤드레), 재래종, 잎, 생것",32,3.47,1.38,3.29,269,0,2.04,26,312,0.396,0.171,11.96
"고려엉겅퀴(곤드레), 재배, 말린것",310,5.6,2.8,76.4,51,0,2,116,0,0.04,0.09,2
"고로쇠나무, 수액",5,0,0.02,1.44,8,0,0.02,0,6,0.01,0,0.06
"고비, 야생, 말린것, 삶은것",31,1.68,0.26,6.84,36,4,0.75,29,60,0,0.193,0
"고비, 야생, 삶아서 말린것",299,17.95,1.7,67.51,226,28,7.18,313,2947,0,1.369,0
"고비, 야생, 삶은것",25,1.58,0.16,5.43,16,2,0.29,25,184,0,0.048,1.96
"고비, 야생, 생것",28,1.72,0.13,6.41,15,1,0.71,33,271,0,0.023,6.41
"고비, 재배, 생것",28,2.1,0.1,6.2,14,6,3.7,164,385,0.03,0.11,33
"고사리, 데친것",21,2.74,0.24,3.55,15,2,0.48,57,197,0.004,0.097,8.38
"고사리, 말린것",261,25.8,0.6,54.2,188,15,6.4,246,2879,0.11,0.51,0
"고사리, 삶아서 말린것",273,27.85,0.34,56.58,147,24,6.75,760,3287,0.054,0.776,5.56
"고사리, 생것",22,2.9,0.17,3.8,9,0,0.88,67,305,0.011,0.137,2.58
"고수(향채), 생것",33,4.6,0.2,5.6,46,5,21.4,26,299,0.03,0.21,2
"고추, 꽈리고추, 생것",33,1.83,0.13,7.78,15,2,0.6,42,279,0.07,0.094,56.7
"고추, 녹광, 빨간색, 생것",41,2.3,1.3,6.9,12,11,1,44,370,0,0,170
"고추, 녹광, 초록색, 생것",27,1.4,0.8,4.6,14,9,0.9,39,162,0,0,72
